Position;Lichtverhältnisse;Untergrund;Winkel;Karte;Jaccard-Wert;Gute Erkennung;Anzahl Gute Erkennung;Jaccard-Wert für Gruppe
gehalten;schlecht;kontrasterzeugend;60;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,42;JA;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;1;0,42
;;;;;;;;
;;;75;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;0;NONE
;;;;;;;;
;;;90;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;0;NONE
;;;;;;;;
;;kontrasthemmend;60;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;0;NONE
;;;;;;;;
;;;75;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;0;NONE
;;;;;;;;
;;;90;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;0;NONE
;;;;;;;;
;good;kontrasterzeugend;60;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,82;JA;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;1;0,82
;;;;;;;;
;;;75;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;0;NONE
;;;;;;;;
;;;90;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;0;NONE
;;;;;;;;
;;kontrasthemmend;60;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;0;NONE
;;;;;;;;
;;;75;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;0;NONE
;;;;;;;;
;;;90;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;0;NONE
;;;;;;;;
positioniert;schlecht;kontrasterzeugend;60;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;0;NONE
;;;;;;;;
;;;75;KD1-1;0,44;JA;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,28;JA;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,72;JA;;
;;;;KD4-2;0,00;NEIN;3;0,48
;;;;;;;;
;;;90;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;0;NONE
;;;;;;;;
;;kontrasthemmend;60;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;0;NONE
;;;;;;;;
;;;75;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;0;NONE
;;;;;;;;
;;;90;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;0;NONE
;;;;;;;;
;gut;kontrasterzeugend;60;KD1-1;0,79;JA;;
;;;;KD1-2;0,90;JA;;
;;;;KD2-1;0,71;JA;;
;;;;KD2-2;0,73;JA;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,82;JA;;
;;;;KD4-2;0,91;JA;6;0,81
;;;;;;;;
;;;75;KD1-1;0,66;JA;;
;;;;KD1-2;0,90;JA;;
;;;;KD2-1;0,78;JA;;
;;;;KD2-2;0,63;JA;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,90;JA;5;0,77
;;;;;;;;
;;;90;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;0;NONE
;;;;;;;;
;;kontrasthemmend;60;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;0;NONE
;;;;;;;;
;;;75;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,80;JA;;
;;;;KD2-1;0,41;JA;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;2;0,60
;;;;;;;;
;;;90;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;0;NONE
;;;;;;;;
;;;;Jaccard Gesamt;0,07;Anzahl Gute Erkennung;18;
;;;;Jaccard Gute Erkennung;0,70;;;
;;;;Jaccard Gute Erkennung - Alle Festgehalten;0,62;Anzahl Gute Erkennung - Alle Festgehalten;2;
;;;;Jaccard Gute Erkennung - Alle Positioniert;0,71;Anzahl Gute Erkennung - Alle Positioniert;16;
;;;;;;;;
;;;;;Ähnlichkeit;Abweichung;Wertung;
;;;;Jaccard Index Kategorie 8;0,00;1,00;4;
;;;;Jaccard Index Kategorie 7;0,42;0,58;3;
;;;;Jaccard Index Kategorie 6;;1,00;4;
;;;;Jaccard Index Kategorie 5;0,82;0,18;2;
;;;;Jaccard Index  Kategorie 4;;1,00;4;
;;;;Jaccard Index Kategorie 3;0,48;0,52;2;
;;;;Jaccard Index Kategorie 2;0,60;0,40;3;
;;;;Jaccard Index Kategorie 1;0,79;0,21;1;
