Position;Lichtverhältnisse;Untergrund;Winkel;Karte;Jaccard-Wert;Gute Erkennung;Anzahl Gute Erkennung;Jaccard-Wert für Gruppe
gehalten;schlecht;kontrasterzeugend;60;KD1-1;0,44;JA;;
;;;;KD1-2;0,45;JA;;
;;;;KD2-1;0,37;JA;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,54;JA;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,55;JA;5;0,47
;;;;;;;;
;;;75;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,67;JA;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,55;JA;2;0,61
;;;;;;;;
;;;90;KD1-1;0,56;JA;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,26;JA;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,44;JA;3;0,42
;;;;;;;;
;;kontrasthemmend;60;KD1-1;0,31;JA;;
;;;;KD1-2;0,71;JA;;
;;;;KD2-1;0,28;JA;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,35;JA;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;4;0,41
;;;;;;;;
;;;75;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,73;JA;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,53;JA;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;2;0,63
;;;;;;;;
;;;90;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,54;JA;1;0,54
;;;;;;;;
;gut;kontrasterzeugend;60;KD1-1;0,63;JA;;
;;;;KD1-2;0,78;JA;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;2;0,71
;;;;;;;;
;;;75;KD1-1;0,67;JA;;
;;;;KD1-2;0,76;JA;;
;;;;KD2-1;0,45;JA;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;3;0,63
;;;;;;;;
;;;90;KD1-1;0,75;JA;;
;;;;KD1-2;0,66;JA;;
;;;;KD2-1;0,49;JA;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,79;JA;4;0,47
;;;;;;;;
;;kontrasthemmend;60;KD1-1;0,71;JA;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,80;JA;2;0,75
;;;;;;;;
;;;75;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;0;NONE
;;;;;;;;
;;;90;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,81;JA;;
;;;;KD2-1;0,43;JA;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,78;JA;3;0,67
;;;;;;;;
positioniert;schlecht;kontrasterzeugend;60;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,40;JA;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,85;JA;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,79;JA;;
;;;;KD4-2;0,54;JA;4;0,65
;;;;;;;;
;;;75;KD1-1;0,54;JA;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,28;JA;;
;;;;KD2-2;0,44;JA;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,57;JA;;
;;;;KD4-2;0,62;JA;5;0,49
;;;;;;;;
;;;90;KD1-1;0,49;JA;;
;;;;KD1-2;0,58;JA;;
;;;;KD2-1;0,48;JA;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,72;JA;;
;;;;KD4-2;0,90;JA;5;0,63
;;;;;;;;
;;kontrasthemmend;60;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;0;NONE
;;;;;;;;
;;;75;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;0;NONE
;;;;;;;;
;;;90;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,00;NEIN;;
;;;;KD2-1;0,00;NEIN;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,71;JA;;
;;;;KD4-2;0,00;NEIN;1;0,71
;;;;;;;;
;gut;kontrasterzeugend;60;KD1-1;0,78;JA;;
;;;;KD1-2;0,85;JA;;
;;;;KD2-1;0,75;JA;;
;;;;KD2-2;0,87;JA;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;4;0,81
;;;;;;;;
;;;75;KD1-1;0,59;JA;;
;;;;KD1-2;0,76;JA;;
;;;;KD2-1;0,44;JA;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,76;JA;;
;;;;KD3-2;0,83;JA;;
;;;;KD4-1;0,73;JA;;
;;;;KD4-2;0,79;JA;7;0,70
;;;;;;;;
;;;90;KD1-1;0,77;JA;;
;;;;KD1-2;0,91;JA;;
;;;;KD2-1;0,81;JA;;
;;;;KD2-2;0,80;JA;;
;;;;KD3-1;0,77;JA;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,67;JA;;
;;;;KD4-2;0,88;JA;7;0,80
;;;;;;;;
;;kontrasthemmend;60;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,65;JA;;
;;;;KD2-1;0,43;JA;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,78;JA;3;0,62
;;;;;;;;
;;;75;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,74;JA;;
;;;;KD2-1;0,45;JA;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,78;JA;3;0,66
;;;;;;;;
;;;90;KD1-1;0,00;NEIN;;
;;;;KD1-2;0,79;JA;;
;;;;KD2-1;0,56;JA;;
;;;;KD2-2;0,00;NEIN;;
;;;;KD3-1;0,00;NEIN;;
;;;;KD3-2;0,00;NEIN;;
;;;;KD4-1;0,00;NEIN;;
;;;;KD4-2;0,00;NEIN;2;0,68
